,zip_code,CBSA Title,MSA_central_outlying,pct_hh_with_broadband_internet_subscriptions,pct_hh_with_broadband_internet_subscriptions_white_alone,pct_hh_with_broadband_internet_subscriptions_black_alone,pct_hh_with_broadband_internet_subscriptions_asian_alone,pct_hh_with_broadband_internet_subscriptions_hispanic,quartiles_pct_hh_with_broadband_internet_subscriptions,pct_bach_degree_or_higher_white_alone,pct_bach_degree_or_higher_black_alone,pct_bach_degree_or_higher_asian_alone,pct_bach_degree_or_higher_hispanic,quartiles_pct_bach_degree_or_higher_white_alone,quartiles_pct_bach_degree_or_higher_black_alone,quartiles_pct_bach_degree_or_higher_asian_alone,quartiles_pct_bach_degree_or_higher_hispanic
18,37032,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,83.0,84.2,41.8,0.0,8.9,26-50% of geographies,23.0,36.8,,0.0,51-75% of geographies,Top 25% of geographies,,Bottom 25% of geographies
19,37033,,Outlying,72.6,73.4,48.8,,58.3,Bottom 25% of geographies,8.8,0.0,,12.9,Bottom 25% of geographies,Bottom 25% of geographies,,26-50% of geographies
20,37034,"Lewisburg, TN",Central,86.9,86.2,72.1,100.0,98.7,26-50% of geographies,20.1,10.5,13.6,3.4,26-50% of geographies,26-50% of geographies,Bottom 25% of geographies,26-50% of geographies
21,37035,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,80.2,82.0,100.0,100.0,13.0,Bottom 25% of geographies,23.2,,0.0,0.0,51-75% of geographies,,Bottom 25% of geographies,Bottom 25% of geographies
22,37036,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,85.3,84.8,100.0,,100.0,26-50% of geographies,10.1,0.0,,0.0,Bottom 25% of geographies,Bottom 25% of geographies,,Bottom 25% of geographies
23,37037,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,90.5,91.7,83.7,,100.0,51-75% of geographies,29.0,16.0,,10.8,51-75% of geographies,51-75% of geographies,,26-50% of geographies
24,37040,"Clarksville, TN-KY",Central,93.3,95.4,87.2,99.2,97.9,51-75% of geographies,29.6,25.5,31.7,21.2,51-75% of geographies,51-75% of geographies,26-50% of geographies,51-75% of geographies
25,37042,"Clarksville, TN-KY",Central,93.0,94.1,93.0,91.2,94.0,51-75% of geographies,24.9,23.6,26.5,13.1,51-75% of geographies,51-75% of geographies,26-50% of geographies,26-50% of geographies
26,37043,"Clarksville, TN-KY",Central,94.7,94.7,91.2,100.0,97.8,Top 25% of geographies,40.7,44.2,58.8,40.1,Top 25% of geographies,Top 25% of geographies,51-75% of geographies,Top 25% of geographies
27,37046,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,94.8,94.3,,100.0,100.0,Top 25% of geographies,52.3,,100.0,48.4,Top 25% of geographies,,Top 25% of geographies,Top 25% of geographies
28,37047,"Lewisburg, TN",Central,84.7,81.4,100.0,,100.0,26-50% of geographies,12.1,19.7,,0.0,Bottom 25% of geographies,51-75% of geographies,,Bottom 25% of geographies
29,37048,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,92.9,93.4,89.7,100.0,100.0,51-75% of geographies,23.0,0.0,,0.0,51-75% of geographies,Bottom 25% of geographies,,Bottom 25% of geographies
30,37049,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,85.1,84.1,100.0,75.0,90.4,26-50% of geographies,14.6,2.4,0.0,39.1,26-50% of geographies,26-50% of geographies,Bottom 25% of geographies,Top 25% of geographies
31,37050,"Clarksville, TN-KY",Outlying,87.3,85.4,91.5,,100.0,26-50% of geographies,7.7,0.0,,0.0,Bottom 25% of geographies,Bottom 25% of geographies,,Bottom 25% of geographies
32,37051,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,80.6,80.0,,,100.0,Bottom 25% of geographies,26.9,,,56.1,51-75% of geographies,,,Top 25% of geographies
33,37052,"Clarksville, TN-KY",Central,87.6,87.6,,,0.0,26-50% of geographies,27.1,,,100.0,51-75% of geographies,,,Top 25% of geographies
34,37055,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,87.3,87.0,83.0,99.6,89.7,26-50% of geographies,18.1,24.6,0.0,16.4,26-50% of geographies,51-75% of geographies,Bottom 25% of geographies,51-75% of geographies
35,37057,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,68.8,76.7,0.0,,,Bottom 25% of geographies,0.0,0.0,,,Bottom 25% of geographies,Bottom 25% of geographies,,
36,37058,"Clarksville, TN-KY",Outlying,84.1,82.7,55.6,100.0,100.0,26-50% of geographies,19.3,0.0,23.2,57.8,26-50% of geographies,Bottom 25% of geographies,26-50% of geographies,Top 25% of geographies
37,37059,,Outlying,83.6,85.1,9.5,,0.0,26-50% of geographies,16.3,0.0,,0.0,26-50% of geographies,Bottom 25% of geographies,,Bottom 25% of geographies
38,37060,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,91.1,90.8,96.0,100.0,52.7,51-75% of geographies,28.1,3.3,,36.0,51-75% of geographies,26-50% of geographies,,Top 25% of geographies
39,37061,,Outlying,84.7,84.8,86.0,100.0,100.0,26-50% of geographies,15.1,4.3,,0.0,26-50% of geographies,26-50% of geographies,,Bottom 25% of geographies
40,37062,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,88.2,89.8,67.1,14.5,82.4,26-50% of geographies,33.3,30.1,50.0,38.5,51-75% of geographies,51-75% of geographies,51-75% of geographies,Top 25% of geographies
41,37064,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,95.3,95.4,90.2,100.0,94.9,Top 25% of geographies,59.7,38.8,78.0,24.4,Top 25% of geographies,Top 25% of geographies,Top 25% of geographies,51-75% of geographies
42,37066,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,91.3,91.9,87.2,97.7,92.9,51-75% of geographies,31.5,20.3,42.8,12.7,51-75% of geographies,51-75% of geographies,26-50% of geographies,26-50% of geographies
43,37067,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,95.4,95.2,100.0,93.9,100.0,Top 25% of geographies,63.1,53.9,86.4,59.4,Top 25% of geographies,Top 25% of geographies,Top 25% of geographies,Top 25% of geographies
44,37069,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,97.5,97.6,100.0,100.0,87.4,Top 25% of geographies,73.5,47.3,96.3,50.3,Top 25% of geographies,Top 25% of geographies,Top 25% of geographies,Top 25% of geographies
45,37072,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,92.7,91.7,96.9,98.8,97.5,51-75% of geographies,29.4,33.0,37.8,11.5,51-75% of geographies,51-75% of geographies,26-50% of geographies,26-50% of geographies
46,37073,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,94.0,93.9,100.0,100.0,97.5,Top 25% of geographies,22.6,22.1,72.3,41.4,51-75% of geographies,51-75% of geographies,51-75% of geographies,Top 25% of geographies
47,37074,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,83.6,83.2,72.0,100.0,71.6,26-50% of geographies,8.1,7.1,45.2,0.0,Bottom 25% of geographies,26-50% of geographies,26-50% of geographies,Bottom 25% of geographies
48,37075,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,94.9,95.2,92.8,90.1,95.4,Top 25% of geographies,37.9,47.4,48.6,25.6,Top 25% of geographies,Top 25% of geographies,51-75% of geographies,51-75% of geographies
49,37076,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,93.0,93.6,94.0,100.0,90.0,51-75% of geographies,39.1,30.0,40.0,17.9,Top 25% of geographies,51-75% of geographies,26-50% of geographies,51-75% of geographies
50,37078,,Outlying,74.8,74.8,,,,Bottom 25% of geographies,11.2,,,,Bottom 25% of geographies,,,
51,37079,"Clarksville, TN-KY",Outlying,86.0,85.8,,,0.0,26-50% of geographies,21.1,,,,26-50% of geographies,,,
52,37080,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,90.2,90.0,96.2,82.6,100.0,51-75% of geographies,21.6,21.1,65.2,9.9,26-50% of geographies,51-75% of geographies,51-75% of geographies,26-50% of geographies
53,37082,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,91.0,91.1,100.0,,89.8,51-75% of geographies,26.9,46.4,,56.4,51-75% of geographies,Top 25% of geographies,,Top 25% of geographies
54,37083,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,84.0,85.0,0.0,0.0,81.8,26-50% of geographies,9.8,0.0,0.0,0.0,Bottom 25% of geographies,Bottom 25% of geographies,Bottom 25% of geographies,Bottom 25% of geographies
55,37085,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,94.8,96.9,71.2,100.0,100.0,Top 25% of geographies,43.1,0.0,0.0,17.6,Top 25% of geographies,Bottom 25% of geographies,Bottom 25% of geographies,51-75% of geographies
56,37086,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,90.5,89.2,89.1,100.0,87.7,51-75% of geographies,22.2,26.9,10.7,8.0,26-50% of geographies,51-75% of geographies,Bottom 25% of geographies,26-50% of geographies
57,37087,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,88.2,88.4,85.5,84.8,85.5,26-50% of geographies,30.6,25.6,55.6,26.6,51-75% of geographies,51-75% of geographies,51-75% of geographies,51-75% of geographies
58,37090,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,90.1,90.0,86.0,100.0,98.8,51-75% of geographies,28.2,45.2,64.5,21.7,51-75% of geographies,Top 25% of geographies,51-75% of geographies,51-75% of geographies
59,37091,"Lewisburg, TN",Central,86.2,85.5,92.4,100.0,97.8,26-50% of geographies,19.1,3.9,67.9,3.9,26-50% of geographies,26-50% of geographies,51-75% of geographies,26-50% of geographies
60,37095,,Outlying,77.9,78.7,72.4,100.0,80.3,Bottom 25% of geographies,24.2,0.0,,0.0,51-75% of geographies,Bottom 25% of geographies,,Bottom 25% of geographies
61,37096,,Outlying,71.6,69.1,33.3,100.0,0.0,Bottom 25% of geographies,10.2,15.5,11.3,0.0,Bottom 25% of geographies,51-75% of geographies,Bottom 25% of geographies,Bottom 25% of geographies
62,37097,,Outlying,68.8,70.6,,,0.0,Bottom 25% of geographies,9.0,,,,Bottom 25% of geographies,,,
63,37098,,Outlying,88.4,88.2,55.6,,87.6,26-50% of geographies,7.4,0.0,,13.6,Bottom 25% of geographies,Bottom 25% of geographies,,51-75% of geographies
64,37101,,Outlying,83.2,82.7,100.0,,33.1,26-50% of geographies,15.3,33.3,,45.2,26-50% of geographies,51-75% of geographies,,Top 25% of geographies
65,37110,"McMinnville, TN",Central,81.8,82.5,67.3,69.6,78.8,26-50% of geographies,14.2,9.9,54.1,9.6,Bottom 25% of geographies,26-50% of geographies,51-75% of geographies,26-50% of geographies
66,37115,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,85.9,87.0,83.9,92.5,85.5,26-50% of geographies,25.5,24.1,23.8,8.7,51-75% of geographies,51-75% of geographies,26-50% of geographies,26-50% of geographies
67,37118,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,92.3,92.1,,100.0,,51-75% of geographies,22.2,,100.0,,26-50% of geographies,,Top 25% of geographies,
68,37122,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,94.4,94.9,85.2,100.0,94.9,Top 25% of geographies,41.5,49.3,82.0,24.4,Top 25% of geographies,Top 25% of geographies,Top 25% of geographies,51-75% of geographies
69,37127,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,97.2,97.0,96.6,100.0,100.0,Top 25% of geographies,35.5,48.7,53.9,38.3,51-75% of geographies,Top 25% of geographies,51-75% of geographies,Top 25% of geographies
70,37128,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,96.0,97.1,91.8,100.0,93.8,Top 25% of geographies,39.9,44.3,39.7,33.5,Top 25% of geographies,Top 25% of geographies,26-50% of geographies,Top 25% of geographies
71,37129,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,94.2,95.2,86.1,96.9,95.7,Top 25% of geographies,36.9,38.6,60.4,15.1,Top 25% of geographies,Top 25% of geographies,51-75% of geographies,51-75% of geographies
72,37130,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,87.3,89.0,80.4,94.8,92.1,26-50% of geographies,37.3,34.0,53.3,11.6,Top 25% of geographies,Top 25% of geographies,51-75% of geographies,26-50% of geographies
73,37132,,Outlying,,,,,,,0.0,100.0,,,Bottom 25% of geographies,Top 25% of geographies,,
74,37134,,Outlying,88.5,87.6,100.0,0.0,100.0,51-75% of geographies,10.5,0.0,0.0,69.2,Bottom 25% of geographies,Bottom 25% of geographies,Bottom 25% of geographies,Top 25% of geographies
75,37135,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,99.0,99.1,100.0,100.0,100.0,Top 25% of geographies,70.5,59.3,40.8,47.3,Top 25% of geographies,Top 25% of geographies,26-50% of geographies,Top 25% of geographies
76,37137,,Outlying,70.0,66.1,95.5,100.0,100.0,Bottom 25% of geographies,9.8,0.0,100.0,100.0,Bottom 25% of geographies,Bottom 25% of geographies,Top 25% of geographies,Top 25% of geographies
77,37138,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,92.1,92.2,91.9,100.0,90.2,51-75% of geographies,37.6,32.2,64.8,25.8,Top 25% of geographies,51-75% of geographies,51-75% of geographies,51-75% of geographies
78,37140,,Outlying,86.4,86.4,,,,26-50% of geographies,13.5,3.1,,0.0,Bottom 25% of geographies,26-50% of geographies,,Bottom 25% of geographies
79,37141,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,76.7,75.2,100.0,,100.0,Bottom 25% of geographies,15.1,9.7,,0.0,26-50% of geographies,26-50% of geographies,,Bottom 25% of geographies
80,37142,"Clarksville, TN-KY",Central,72.6,72.1,,,100.0,Bottom 25% of geographies,24.7,0.0,0.0,0.0,51-75% of geographies,Bottom 25% of geographies,Bottom 25% of geographies,Bottom 25% of geographies
81,37143,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,86.8,86.4,100.0,,100.0,26-50% of geographies,25.4,30.8,,40.0,51-75% of geographies,51-75% of geographies,,Top 25% of geographies
82,37144,,Outlying,79.7,78.9,91.5,100.0,100.0,Bottom 25% of geographies,15.4,0.0,66.7,,26-50% of geographies,Bottom 25% of geographies,51-75% of geographies,
83,37145,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,91.1,90.5,,,91.9,51-75% of geographies,12.8,,,0.0,Bottom 25% of geographies,,,Bottom 25% of geographies
84,37146,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,90.9,90.0,97.3,100.0,100.0,51-75% of geographies,29.4,31.2,28.7,85.3,51-75% of geographies,51-75% of geographies,26-50% of geographies,Top 25% of geographies
85,37148,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,90.1,90.1,79.5,83.1,100.0,51-75% of geographies,13.9,4.5,29.0,11.1,Bottom 25% of geographies,26-50% of geographies,26-50% of geographies,26-50% of geographies
86,37149,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,84.9,84.4,100.0,,100.0,26-50% of geographies,18.0,30.0,,100.0,26-50% of geographies,51-75% of geographies,,Top 25% of geographies
87,37150,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,75.8,77.3,100.0,,0.0,Bottom 25% of geographies,12.3,0.0,,0.0,Bottom 25% of geographies,Bottom 25% of geographies,,Bottom 25% of geographies
88,37151,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,72.4,76.0,0.0,,,Bottom 25% of geographies,6.4,0.0,,,Bottom 25% of geographies,Bottom 25% of geographies,,
89,37153,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,88.8,88.6,100.0,100.0,100.0,51-75% of geographies,29.3,46.2,100.0,0.0,51-75% of geographies,Top 25% of geographies,Top 25% of geographies,Bottom 25% of geographies
90,37160,"Shelbyville, TN",Central,85.6,87.8,74.3,,82.0,26-50% of geographies,19.2,4.5,,4.2,26-50% of geographies,26-50% of geographies,,26-50% of geographies
91,37165,,Outlying,83.3,83.1,,,,26-50% of geographies,8.1,,,,Bottom 25% of geographies,,,
92,37166,,Outlying,78.2,78.3,67.6,100.0,70.2,Bottom 25% of geographies,18.4,30.9,0.0,8.7,26-50% of geographies,51-75% of geographies,Bottom 25% of geographies,26-50% of geographies
93,37167,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,92.5,93.2,89.9,86.4,86.1,51-75% of geographies,25.0,34.4,11.3,14.9,51-75% of geographies,Top 25% of geographies,Bottom 25% of geographies,51-75% of geographies
94,37171,"Clarksville, TN-KY",Central,73.6,73.6,,,,Bottom 25% of geographies,9.1,,,,Bottom 25% of geographies,,,
95,37172,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,84.7,86.2,82.6,96.6,83.2,26-50% of geographies,21.0,9.6,13.6,7.8,26-50% of geographies,26-50% of geographies,Bottom 25% of geographies,26-50% of geographies
96,37174,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,97.0,97.7,94.7,100.0,82.4,Top 25% of geographies,46.2,39.8,54.8,30.7,Top 25% of geographies,Top 25% of geographies,51-75% of geographies,51-75% of geographies
97,37175,,Outlying,65.1,66.4,,,,Bottom 25% of geographies,7.2,,,,Bottom 25% of geographies,,,
98,37178,,Outlying,80.6,80.6,,,100.0,Bottom 25% of geographies,16.6,0.0,,0.0,26-50% of geographies,Bottom 25% of geographies,,Bottom 25% of geographies
99,37179,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,95.1,95.2,44.6,100.0,100.0,Top 25% of geographies,54.7,0.0,100.0,80.7,Top 25% of geographies,Bottom 25% of geographies,Top 25% of geographies,Top 25% of geographies
100,37180,"Shelbyville, TN",Central,68.4,67.6,100.0,,,Bottom 25% of geographies,15.1,0.0,,,26-50% of geographies,Bottom 25% of geographies,,
101,37181,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,85.5,84.9,100.0,,68.3,26-50% of geographies,14.1,0.0,,26.9,Bottom 25% of geographies,Bottom 25% of geographies,,51-75% of geographies
102,37183,"Shelbyville, TN",Central,88.1,87.2,100.0,100.0,100.0,26-50% of geographies,26.6,0.0,0.0,7.1,51-75% of geographies,Bottom 25% of geographies,Bottom 25% of geographies,26-50% of geographies
103,37184,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,83.9,83.1,81.1,100.0,100.0,26-50% of geographies,18.5,34.6,25.6,3.3,26-50% of geographies,Top 25% of geographies,26-50% of geographies,26-50% of geographies
104,37185,,Outlying,86.0,85.6,92.1,100.0,82.8,26-50% of geographies,17.6,4.1,81.4,0.0,26-50% of geographies,26-50% of geographies,Top 25% of geographies,Bottom 25% of geographies
105,37186,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,82.7,83.0,71.1,100.0,7.6,26-50% of geographies,7.4,25.5,100.0,9.0,Bottom 25% of geographies,51-75% of geographies,Top 25% of geographies,26-50% of geographies
106,37187,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,91.4,91.1,100.0,,100.0,51-75% of geographies,17.3,0.0,,8.4,26-50% of geographies,Bottom 25% of geographies,,26-50% of geographies
107,37188,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,95.5,95.2,100.0,100.0,100.0,Top 25% of geographies,24.0,10.4,60.2,20.0,51-75% of geographies,26-50% of geographies,51-75% of geographies,51-75% of geographies
108,37189,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,93.7,96.2,90.9,,100.0,Top 25% of geographies,45.0,34.3,0.0,48.1,Top 25% of geographies,Top 25% of geographies,Bottom 25% of geographies,Top 25% of geographies
109,37190,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,78.3,78.4,53.8,,63.3,Bottom 25% of geographies,13.2,0.0,,27.8,Bottom 25% of geographies,Bottom 25% of geographies,,51-75% of geographies
110,37191,"Clarksville, TN-KY",Central,88.8,87.4,100.0,100.0,99.4,51-75% of geographies,18.9,29.9,,42.5,26-50% of geographies,51-75% of geographies,,Top 25% of geographies
111,37201,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,63.6,56.6,,100.0,100.0,Bottom 25% of geographies,81.0,0.0,100.0,0.0,Top 25% of geographies,Bottom 25% of geographies,Top 25% of geographies,Bottom 25% of geographies
112,37203,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,92.4,97.1,77.1,99.1,94.6,51-75% of geographies,69.9,23.9,77.7,55.2,Top 25% of geographies,51-75% of geographies,Top 25% of geographies,Top 25% of geographies
113,37204,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,95.6,98.4,76.0,94.6,99.4,Top 25% of geographies,81.8,43.6,93.0,41.2,Top 25% of geographies,Top 25% of geographies,Top 25% of geographies,Top 25% of geographies
114,37205,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,94.2,94.0,96.8,100.0,96.0,Top 25% of geographies,76.2,34.4,97.8,45.9,Top 25% of geographies,Top 25% of geographies,Top 25% of geographies,Top 25% of geographies
115,37206,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,91.1,96.0,80.2,100.0,93.1,51-75% of geographies,63.1,19.7,85.9,39.6,Top 25% of geographies,51-75% of geographies,Top 25% of geographies,Top 25% of geographies
116,37207,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,82.8,80.7,83.5,58.9,83.6,26-50% of geographies,42.0,19.7,44.6,12.3,Top 25% of geographies,51-75% of geographies,26-50% of geographies,26-50% of geographies
117,37208,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,85.8,94.2,80.9,100.0,78.0,26-50% of geographies,72.7,17.7,91.7,46.3,Top 25% of geographies,51-75% of geographies,Top 25% of geographies,Top 25% of geographies
118,37209,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,89.8,94.1,78.8,91.2,80.4,51-75% of geographies,59.8,31.9,39.3,24.8,Top 25% of geographies,51-75% of geographies,26-50% of geographies,51-75% of geographies
119,37210,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,82.3,89.8,68.2,92.3,87.2,26-50% of geographies,41.9,12.0,28.4,18.3,Top 25% of geographies,26-50% of geographies,26-50% of geographies,51-75% of geographies
120,37211,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,92.3,91.5,91.8,99.6,87.7,51-75% of geographies,42.2,37.8,41.1,12.5,Top 25% of geographies,Top 25% of geographies,26-50% of geographies,26-50% of geographies
121,37212,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,92.8,96.6,49.5,99.4,94.8,51-75% of geographies,72.5,27.1,98.2,72.6,Top 25% of geographies,51-75% of geographies,Top 25% of geographies,Top 25% of geographies
122,37213,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,100.0,100.0,,100.0,,Top 25% of geographies,100.0,,100.0,,Top 25% of geographies,,Top 25% of geographies,
123,37214,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,92.7,93.7,91.6,99.1,88.8,51-75% of geographies,40.8,43.2,57.6,36.3,Top 25% of geographies,Top 25% of geographies,51-75% of geographies,Top 25% of geographies
124,37215,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,93.6,93.7,93.1,87.8,100.0,Top 25% of geographies,80.3,50.3,76.5,84.2,Top 25% of geographies,Top 25% of geographies,Top 25% of geographies,Top 25% of geographies
